State,account_length,intertiol_plan,number_vm_messages,total_day_min,total_day_calls,total_eve_min,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,service quality,priority customer level,total data usage,network coverage,total messages usage,total_mins,total_calls,total_charge,avg_min_per_call
15,65.0,0,0.0,129.1,137.0,228.5,83.0,208.8,111.0,12.7,6.0,3.5,2.0,1.0,5.0,100.0,325.0,566.4000000000001,331.0,50.77,1.7111782477341393
39,74.0,0,0.0,187.7,127.0,163.4,148.0,196.0,94.0,9.1,5.0,0.0,0.0,1.0,8.0,110.0,520.0,547.1,369.0,54.62,1.4826558265582657
12,168.0,0,0.0,128.8,96.0,104.9,71.0,141.1,128.0,11.2,2.0,1.0,7.0,1.0,60.0,436.0,532.0,374.8,295.0,37.17,1.2705084745762711
26,95.0,0,0.0,156.6,88.0,247.6,75.0,192.3,115.0,12.3,5.0,3.0,4.0,1.0,58.0,846.0,396.0,596.5,278.0,56.32,2.1456834532374103
12,62.0,0,0.0,120.7,70.0,307.2,76.0,203.0,99.0,13.1,6.0,3.5,6.0,2.0,44.0,905.0,486.0,630.9,245.0,55.769999999999996,2.5751020408163265
34,161.0,0,0.0,324.95,67.0,317.8,97.0,160.6,128.0,5.4,9.0,3.5,0.0,1.0,3.0,315.0,408.0,803.35,292.0,89.47000000000001,2.751198630136986
13,85.0,0,27.0,196.4,139.0,280.9,90.0,89.3,75.0,13.8,4.0,1.0,9.0,2.0,1.0,417.0,486.0,566.5999999999999,304.0,61.28999999999999,1.863815789473684
46,93.0,0,0.0,190.7,114.0,218.2,111.0,129.6,121.0,8.1,3.0,3.0,9.0,3.0,2.0,750.0,572.0,538.5,346.0,56.8,1.55635838150289
45,76.0,0,33.0,189.7,66.0,212.8,65.0,165.7,108.0,10.0,5.0,1.0,9.0,1.0,48.0,634.0,270.0,568.2,239.0,57.800000000000004,2.377405857740586
43,73.0,0,0.0,224.4,90.0,159.5,88.0,192.8,74.0,13.0,2.0,1.0,7.0,3.0,2.0,810.0,412.0,576.7,252.0,60.39,2.288492063492064
9,147.0,0,0.0,155.1,117.0,239.7,93.0,208.8,133.0,10.6,4.0,0.0,0.0,1.0,56.0,290.0,593.0,603.5999999999999,343.0,56.14,1.7597667638483963
5,77.0,0,0.0,62.4,89.0,169.9,121.0,209.6,64.0,5.7,6.0,3.5,0.0,1.0,1.0,307.0,143.0,441.9,274.0,34.48,1.6127737226277372
3,130.0,0,0.0,183.0,112.0,72.9,99.0,181.8,78.0,9.5,10.5,0.0,0.0,3.0,22.0,176.0,688.0,437.70000000000005,289.0,45.49,1.5145328719723186
40,111.0,0,0.0,110.4,103.0,137.3,102.0,189.6,105.0,7.7,6.0,2.0,7.0,3.0,10.0,160.0,556.0,437.3,310.0,38.97,1.4106451612903226
45,132.0,0,0.0,81.1,86.0,245.2,72.0,237.0,115.0,10.3,2.0,0.0,0.0,2.0,13.0,118.0,515.0,563.3,273.0,45.3,2.063369963369963
29,174.0,0,0.0,124.3,76.0,277.1,112.0,250.7,115.0,15.5,5.0,3.0,5.0,3.0,20.0,646.0,247.0,652.1,303.0,55.96,2.152145214521452
50,57.0,0,39.0,213.0,115.0,191.1,112.0,182.7,115.0,9.5,3.0,0.0,0.0,1.0,18.0,376.0,271.0,586.8,342.0,60.67,1.7157894736842103
26,54.0,0,0.0,134.3,73.0,155.5,100.0,102.1,68.0,14.7,4.0,3.0,9.0,3.0,57.0,571.0,717.0,391.9,241.0,40.64,1.6261410788381743
24,20.0,0,0.0,190.0,109.0,258.2,84.0,181.5,102.0,6.3,6.0,0.0,0.0,1.0,41.0,852.0,363.0,629.7,295.0,62.42,2.134576271186441
11,49.0,0,0.0,119.3,117.0,215.1,109.0,178.7,90.0,11.1,1.0,1.0,5.0,3.0,7.0,198.0,643.0,513.0999999999999,316.0,46.6,1.6237341772151896
14,142.0,0,0.0,84.8,95.0,136.7,63.0,250.5,148.0,14.2,6.0,2.0,5.0,1.0,64.0,634.0,484.0,472.0,306.0,37.31,1.542483660130719
30,75.0,0,0.0,226.1,105.0,201.5,107.0,246.2,98.0,10.3,5.0,1.0,9.0,3.0,38.0,129.0,570.0,673.8,310.0,66.64999999999999,2.173548387096774
18,172.0,0,0.0,212.0,121.0,64.78750000000001,115.0,293.3,78.0,12.6,10.0,3.0,6.0,2.0,13.0,750.0,648.0,570.0875000000001,314.0,54.74000000000001,1.815565286624204
3,12.0,0,0.0,249.6,118.0,252.4,119.0,280.2,90.0,11.8,3.0,1.0,2.0,1.0,4.0,448.0,313.0,782.2,327.0,76.49,2.3920489296636087
36,57.0,0,25.0,176.8,94.0,195.0,75.0,213.5,116.0,8.3,4.0,0.0,0.0,2.0,50.0,710.0,512.0,585.3,285.0,56.25,2.0536842105263156
10,72.0,0,37.0,220.0,80.0,217.3,102.0,152.8,71.0,14.7,6.0,3.0,6.0,3.0,1.0,809.0,684.0,590.1,253.0,62.75,2.332411067193676
0,36.0,0,30.0,146.3,128.0,162.5,80.0,129.3,109.0,14.5,6.0,0.0,0.0,2.0,60.0,338.0,278.0,438.1,317.0,44.5,1.382018927444795
19,78.0,0,0.0,130.8,64.0,223.7,116.0,227.8,108.0,10.0,5.0,1.0,5.0,3.0,21.0,681.0,452.0,582.3,288.0,51.5,2.0218749999999996
0,136.0,1,33.0,203.9,106.0,187.6,99.0,101.7,107.0,10.5,6.0,3.0,9.0,3.0,10.0,127.0,631.0,493.2,312.0,55.19,1.5807692307692307
31,149.0,0,0.0,140.4,94.0,271.8,92.0,188.3,108.0,11.1,9.0,1.0,7.0,3.0,39.0,540.0,152.0,600.5,294.0,55.44,2.042517006802721
10,98.0,0,0.0,126.3,102.0,166.8,85.0,187.8,135.0,9.4,2.0,3.0,7.0,1.0,33.0,676.0,176.0,480.90000000000003,322.0,44.099999999999994,1.4934782608695654
20,135.0,1,41.0,173.1,85.0,203.9,107.0,122.2,78.0,14.6,10.5,0.0,0.0,1.0,9.0,305.0,227.0,499.2,270.0,52.26,1.8488888888888888
2,34.0,0,0.0,124.8,82.0,282.2,98.0,311.5,78.0,10.0,4.0,2.0,8.0,3.0,23.0,693.0,216.0,718.5,258.0,59.22999999999999,2.7848837209302326
13,160.0,0,0.0,85.8,77.0,165.3,110.0,178.5,92.0,9.2,4.0,3.0,4.0,1.0,51.0,322.0,685.0,429.6,279.0,36.67,1.5397849462365591
48,64.0,0,0.0,154.0,67.0,225.8,118.0,265.3,86.0,3.5,3.0,1.0,5.0,1.0,7.0,873.0,572.0,645.1,271.0,57.31,2.3804428044280446
37,59.0,0,28.0,120.9,97.0,213.0,92.0,163.1,116.0,8.5,5.0,2.0,5.0,2.0,67.0,283.0,216.0,497.0,305.0,46.0,1.6295081967213114
22,65.0,0,0.0,211.3,120.0,162.6,122.0,134.7,118.0,13.2,5.0,3.0,8.0,2.0,59.0,548.0,357.0,508.59999999999997,360.0,55.800000000000004,1.4127777777777777
8,142.0,0,0.0,187.0,133.0,134.6,74.0,242.2,127.0,7.4,5.0,2.0,5.0,3.0,52.0,573.0,130.0,563.8,334.0,54.129999999999995,1.6880239520958082
13,119.0,0,0.0,159.1,114.0,231.3,117.0,143.2,91.0,8.8,3.0,3.5,2.0,1.0,2.0,287.0,128.0,533.5999999999999,322.0,53.15,1.6571428571428568
50,97.0,0,24.0,133.2,135.0,217.2,58.0,70.6,79.0,11.0,3.0,1.0,6.0,3.0,60.0,152.0,529.0,421.0,272.0,44.28,1.5477941176470589
12,52.0,0,0.0,191.9,108.0,269.8,96.0,236.8,87.0,7.8,5.0,3.0,5.0,3.0,4.0,239.0,471.0,698.5,291.0,66.21,2.4003436426116838
15,60.0,0,0.0,220.6,57.0,211.1,115.0,249.0,129.0,6.8,3.0,1.0,6.0,3.0,60.0,610.0,657.0,680.7,301.0,66.65,2.2614617940199335
45,10.0,0,0.0,186.1,112.0,190.2,66.0,282.8,57.0,11.4,6.0,2.0,7.0,3.0,35.0,898.0,355.0,659.0999999999999,235.0,60.540000000000006,2.8046808510638295
44,96.0,0,0.0,160.2,117.0,267.5,67.0,228.5,68.0,9.3,5.0,2.0,4.0,1.0,1.0,746.0,121.0,656.2,252.0,60.25,2.603968253968254
50,87.0,0,0.0,151.0,83.0,219.7,116.0,203.9,127.0,9.7,3.0,3.5,2.0,1.0,7.0,144.0,126.0,574.6,326.0,53.52,1.7625766871165645
15,81.0,0,0.0,175.5,67.0,249.3,85.0,270.2,98.0,10.2,3.0,1.0,6.0,2.0,26.0,730.0,184.0,695.0,250.0,63.19,2.78
5,141.0,0,0.0,126.9,98.0,180.0,62.0,140.8,128.0,8.0,2.0,1.0,6.0,3.0,41.0,595.0,585.0,447.7,288.0,43.21000000000001,1.5545138888888888
5,121.0,0,30.0,198.4,129.0,75.3,77.0,181.2,77.0,5.8,3.0,3.0,2.0,1.0,9.0,311.0,264.0,454.9,283.0,48.279999999999994,1.6074204946996467
48,68.0,0,0.0,148.8,70.0,246.5,154.5,129.8,103.0,12.1,3.0,3.0,5.0,1.0,61.0,483.0,699.0,525.1,327.5,52.09,1.6033587786259542
36,125.0,0,0.0,229.3,103.0,177.4,126.0,189.3,95.0,12.0,8.0,1.0,7.0,1.0,18.0,916.0,164.0,596.0,324.0,62.58,1.8395061728395061
13,174.0,0,0.0,192.1,97.0,169.9,94.0,166.6,54.0,11.4,4.0,1.0,9.0,3.0,57.0,279.0,208.0,528.6,245.0,54.599999999999994,2.1575510204081634
4,116.0,0,34.0,268.6,83.0,178.2,142.0,166.3,106.0,11.6,3.0,2.0,8.0,1.0,29.0,856.0,146.0,613.1,331.0,68.28999999999999,1.8522658610271905
23,74.0,0,33.0,193.7,91.0,246.1,96.0,138.0,92.0,14.6,3.0,2.0,6.0,3.0,14.0,638.0,702.0,577.8,279.0,60.06,2.0709677419354837
41,149.0,0,28.0,180.7,92.0,187.8,64.0,265.5,53.0,12.6,3.0,3.0,7.0,1.0,54.0,795.0,211.0,634.0,209.0,58.629999999999995,3.0334928229665072
27,38.0,0,0.0,131.2,98.0,162.9,97.0,159.0,106.0,8.2,6.0,2.0,6.0,2.0,66.0,988.0,670.0,453.1,301.0,43.3,1.5053156146179403
47,40.0,0,41.0,148.1,74.0,169.5,88.0,214.1,102.0,6.2,5.0,2.0,6.0,3.0,12.0,154.0,707.0,531.7,264.0,49.220000000000006,2.0140151515151516
50,43.0,1,0.0,251.5,105.0,212.8,104.0,157.8,67.0,9.3,4.0,0.0,0.0,2.0,54.0,622.0,431.0,622.1,276.0,67.94999999999999,2.253985507246377
23,113.0,1,0.0,125.2,93.0,206.4,119.0,129.3,139.0,8.3,8.0,0.0,0.0,3.0,55.0,756.0,219.0,460.90000000000003,351.0,44.64,1.3131054131054132
44,126.0,0,0.0,211.6,70.0,216.9,80.0,153.5,60.0,7.8,1.0,1.0,8.0,2.0,55.0,597.0,304.0,582.0,210.0,61.31999999999999,2.7714285714285714
43,150.0,0,0.0,178.9,101.0,169.1,110.0,148.6,100.0,13.8,3.0,3.5,2.0,1.0,6.0,242.0,122.0,496.6,311.0,51.47,1.5967845659163988
31,138.0,0,0.0,241.8,93.0,170.5,83.0,295.3,104.0,11.8,7.0,3.0,4.0,1.0,11.0,805.0,304.0,707.6,280.0,68.89,2.527142857142857
23,162.0,0,42.5,224.9,97.0,188.2,84.0,254.6,61.0,12.1,2.0,0.0,0.0,1.0,13.0,179.0,442.0,667.7,242.0,65.69,2.7590909090909093
32,147.0,0,0.0,248.6,83.0,148.9,85.0,172.5,109.0,8.0,4.0,3.0,5.0,1.0,24.0,868.0,176.0,570.0,277.0,62.68,2.0577617328519855
33,90.0,0,0.0,203.4,146.0,226.7,117.0,152.4,105.0,7.3,4.0,1.0,4.0,1.0,37.0,403.0,293.0,582.5,368.0,60.709999999999994,1.5828804347826086
11,85.0,0,0.0,235.8,109.0,157.2,94.0,188.2,99.0,12.0,3.0,0.0,0.0,2.0,50.0,633.0,591.0,581.2,302.0,61.92,1.9245033112582783
23,50.0,0,0.0,157.1,90.0,223.3,72.0,181.4,111.0,6.1,2.0,1.0,5.0,2.0,37.0,923.0,591.0,561.8,273.0,53.849999999999994,2.0578754578754577
7,82.0,0,0.0,300.3,109.0,181.0,100.0,270.1,73.0,11.7,4.0,0.0,0.0,1.0,7.0,231.0,351.0,751.4000000000001,282.0,78.59,2.664539007092199
34,144.0,0,0.0,61.6,117.0,77.1,85.0,173.0,99.0,8.2,7.0,3.5,2.0,1.0,2.0,494.0,357.0,311.7,301.0,24.81,1.0355481727574751
23,46.0,0,0.0,214.1,72.0,164.4,104.0,177.5,113.0,8.2,3.0,2.0,4.0,2.0,58.0,171.0,564.0,556.0,289.0,58.36,1.9238754325259515
20,70.0,0,0.0,170.2,98.0,155.2,102.0,228.6,76.0,15.0,2.0,1.0,8.0,3.0,10.0,311.0,690.0,554.0,276.0,52.41,2.0072463768115942
49,144.0,0,0.0,201.1,99.0,303.5,74.0,224.0,119.0,13.2,2.0,1.0,6.0,1.0,24.0,944.0,163.0,728.6,292.0,70.07,2.495205479452055
37,116.0,1,0.0,215.4,104.0,204.8,79.0,278.5,109.0,12.6,5.0,3.0,6.0,1.0,14.0,335.0,370.0,698.7,292.0,66.56,2.3928082191780824
5,55.0,0,25.0,165.6,123.0,136.1,95.0,175.7,90.0,11.0,2.0,3.0,9.0,3.0,36.0,615.0,461.0,477.4,308.0,47.629999999999995,1.5499999999999998
10,70.0,0,24.0,249.5,101.0,259.7,98.0,222.7,68.0,9.8,4.0,1.0,7.0,2.0,41.0,477.0,224.0,731.9,267.0,74.51,2.7411985018726592
43,106.0,0,0.0,210.6,96.0,249.2,85.0,191.4,88.0,12.4,1.0,2.0,0.0,1.0,3.0,378.0,404.0,651.1999999999999,269.0,65.59,2.4208178438661707
46,128.0,0,29.0,179.3,104.0,225.9,86.0,323.0,78.0,8.6,7.0,0.0,0.0,3.0,45.0,646.0,130.0,728.2,268.0,64.22,2.717164179104478
15,94.0,0,0.0,157.9,105.0,155.0,101.0,189.6,84.0,8.0,5.0,3.5,2.0,1.0,9.0,205.0,309.0,502.5,290.0,48.55,1.7327586206896552
49,111.0,0,0.0,214.3,118.0,208.5,76.0,182.4,98.0,12.0,2.0,1.0,9.0,1.0,23.0,843.0,450.0,605.2,292.0,62.36,2.0726027397260274
17,74.0,0,35.0,154.1,104.0,123.4,84.0,202.1,57.0,10.9,9.0,2.0,7.0,3.0,39.0,667.0,467.0,479.6,245.0,45.78,1.9575510204081634
31,128.0,0,0.0,237.9,125.0,247.6,93.0,208.9,68.0,13.9,4.0,1.0,0.0,1.0,5.0,321.0,302.0,694.4,286.0,70.89,2.427972027972028
7,82.0,0,0.0,143.9,61.0,194.9,105.0,109.6,94.0,11.1,2.0,1.0,4.0,2.0,11.0,305.0,413.0,448.4,260.0,45.96,1.7246153846153844
18,155.0,0,0.0,203.4,100.0,190.9,104.0,196.0,119.0,8.9,4.0,0.0,0.0,1.0,1.0,488.0,154.0,590.3,323.0,59.63,1.8275541795665633
2,80.0,0,0.0,124.3,100.0,173.0,107.0,253.2,62.0,7.9,9.0,1.0,8.0,3.0,63.0,506.0,527.0,550.5,269.0,47.230000000000004,2.046468401486989
21,78.0,0,0.0,252.9,93.0,178.4,112.0,263.9,105.0,9.5,7.0,3.0,4.0,2.0,12.0,278.0,563.0,695.2,310.0,70.03,2.2425806451612904
3,90.0,0,0.0,179.1,71.0,190.6,81.0,127.7,91.0,10.6,7.0,3.0,6.0,3.0,26.0,263.0,199.0,497.4,243.0,52.4,2.0469135802469136
0,104.0,0,0.0,278.4,106.0,81.0,113.0,163.2,137.0,9.8,5.0,1.0,9.0,2.0,29.0,581.0,538.0,522.5999999999999,356.0,61.56,1.4679775280898875
26,73.0,0,0.0,160.1,110.0,213.3,72.0,174.1,72.0,13.0,4.0,0.0,0.0,2.0,45.0,875.0,392.0,547.5,254.0,53.17999999999999,2.155511811023622
3,99.0,0,0.0,198.2,87.0,207.3,76.0,190.9,113.0,8.7,3.0,3.5,6.0,3.0,38.0,260.0,290.0,596.4,276.0,59.900000000000006,2.160869565217391
25,120.0,0,0.0,212.1,131.0,209.4,104.0,167.2,96.0,5.3,5.0,1.0,2.0,1.0,2.0,394.0,205.0,588.7,331.0,61.379999999999995,1.7785498489425984
13,77.0,0,0.0,251.8,72.0,205.7,126.0,275.2,109.0,9.8,7.0,2.0,0.0,1.0,6.0,309.0,215.0,732.7,307.0,72.67,2.3866449511400654
12,98.0,0,21.0,161.2,114.0,252.2,83.0,160.2,92.0,4.4,8.0,3.5,6.0,2.0,3.0,186.0,595.0,573.5999999999999,289.0,56.050000000000004,1.98477508650519
19,108.0,0,0.0,178.3,137.0,189.0,76.0,129.1,102.0,14.6,5.0,0.0,0.0,3.0,48.0,155.0,531.0,496.4,315.0,52.19,1.5758730158730159
46,135.0,0,0.0,151.7,82.0,119.0,105.0,180.0,100.0,10.5,6.0,0.0,0.0,3.0,14.0,245.0,560.0,450.7,287.0,44.01,1.570383275261324
17,95.0,0,0.0,135.0,99.0,183.6,106.0,245.3,102.0,12.5,9.0,1.0,6.0,2.0,10.0,759.0,483.0,563.9000000000001,307.0,49.6,1.8368078175895768
15,122.0,0,0.0,170.5,94.0,173.7,109.0,248.6,75.0,11.3,2.0,1.0,8.0,3.0,64.0,318.0,646.0,592.8,278.0,54.94,2.1323741007194243
3,95.0,0,0.0,238.1,65.0,187.2,98.0,190.0,115.0,11.8,4.0,3.5,5.0,1.0,48.0,835.0,690.0,615.3,278.0,64.94,2.2133093525179857
22,36.0,0,29.0,281.4,102.0,202.2,76.0,187.2,113.0,9.0,6.0,2.0,5.0,1.0,14.0,536.0,236.0,670.8,291.0,73.45,2.3051546391752575
32,93.0,0,21.0,117.9,131.0,164.5,115.0,217.0,86.0,9.8,3.0,1.0,7.0,2.0,65.0,543.0,583.0,499.4,332.0,43.779999999999994,1.5042168674698795
5,141.0,0,32.0,148.6,91.0,131.1,97.0,219.4,142.0,10.1,1.0,1.0,6.0,3.0,69.0,891.0,290.0,499.1,330.0,46.27,1.5124242424242424
44,157.0,0,0.0,229.8,90.0,147.9,121.0,241.4,108.0,9.6,7.0,3.0,8.0,3.0,63.0,208.0,456.0,619.1,319.0,62.5,1.9407523510971787
22,120.0,0,0.0,165.0,100.0,317.2,83.0,119.2,86.0,8.3,8.0,1.0,6.0,1.0,43.0,319.0,492.0,601.4,269.0,60.370000000000005,2.2356877323420075
19,103.0,0,0.0,185.0,117.0,223.3,94.0,222.8,91.0,12.6,2.0,2.0,9.0,2.0,58.0,419.0,469.0,631.1,302.0,60.46,2.0897350993377484
1,98.0,0,0.0,161.0,117.0,190.9,113.0,227.7,113.0,12.1,4.0,3.5,5.0,3.0,14.0,810.0,568.0,579.5999999999999,343.0,53.85,1.6897959183673468
8,125.0,0,0.0,126.7,108.0,206.0,90.0,247.8,114.0,13.3,7.0,1.0,6.0,2.0,10.0,780.0,628.0,580.5,312.0,50.199999999999996,1.8605769230769231
3,63.0,0,0.0,58.9,125.0,169.6,59.0,211.4,88.0,9.4,3.0,1.0,4.0,2.0,22.0,440.0,718.0,439.9,272.0,33.94,1.6172794117647058
21,36.0,1,42.0,196.8,89.0,254.9,122.0,138.3,126.0,17.25,6.0,0.0,0.0,1.0,6.0,483.0,363.0,590.0,337.0,61.35,1.7507418397626113
31,64.0,0,0.0,162.6,83.0,152.3,109.0,65.20000000000003,122.0,14.2,3.0,1.0,5.0,2.0,50.0,883.0,244.0,380.1,314.0,43.525000000000006,1.2105095541401274
33,74.0,0,0.0,282.5,114.0,219.9,48.0,170.0,115.0,9.4,4.0,1.0,2.0,1.0,7.0,238.0,189.0,672.4,277.0,74.37,2.427436823104693
24,112.0,0,36.0,113.7,117.0,157.5,82.0,177.6,118.0,10.0,3.0,2.0,4.0,2.0,25.0,599.0,494.0,448.79999999999995,317.0,40.71,1.4157728706624604
13,97.0,0,0.0,239.8,125.0,214.8,111.0,143.3,81.0,8.7,5.0,2.0,4.0,3.0,17.0,859.0,532.0,597.9000000000001,317.0,65.48,1.886119873817035
29,46.0,0,0.0,210.2,92.0,227.3,77.0,200.1,116.0,13.1,7.0,1.0,4.0,1.0,3.0,891.0,396.0,637.6,285.0,64.05,2.2371929824561403
43,41.0,0,22.0,213.8,102.0,141.8,86.0,142.2,123.0,7.2,3.0,0.0,0.0,2.0,68.0,926.0,240.0,497.8,311.0,54.800000000000004,1.6006430868167203
20,121.0,0,0.0,190.7,103.0,183.5,117.0,220.8,103.0,9.8,4.0,3.0,7.0,3.0,37.0,702.0,479.0,595.0,323.0,57.96,1.8421052631578947
25,193.0,0,0.0,170.9,124.0,132.3,95.0,112.9,89.0,11.6,3.0,1.0,5.0,3.0,21.0,444.0,670.0,416.1,308.0,45.379999999999995,1.350974025974026
33,130.0,0,0.0,154.2,119.0,110.2,98.0,227.4,117.0,9.2,5.0,2.0,4.0,3.0,17.0,352.0,552.0,491.79999999999995,334.0,45.81,1.4724550898203592
3,85.0,0,0.0,201.4,52.0,229.4,104.0,252.5,106.0,12.0,3.0,1.0,7.0,3.0,30.0,651.0,637.0,683.3,262.0,65.1,2.6080152671755723
25,162.0,0,0.0,70.7,108.0,157.5,87.0,154.8,82.0,9.1,3.0,3.5,0.0,1.0,6.0,264.0,332.0,383.0,277.0,32.38,1.3826714801444044
25,61.0,0,27.0,187.5,124.0,146.6,103.0,225.7,129.0,6.4,6.0,3.5,2.0,1.0,1.0,220.0,413.0,559.8,356.0,54.5,1.5724719101123594
43,92.0,0,0.0,91.7,90.0,193.7,123.0,175.0,86.0,9.2,4.0,2.0,8.0,3.0,49.0,410.0,506.0,460.4,299.0,39.93,1.5397993311036788
29,131.0,0,36.0,214.2,115.0,161.7,117.0,264.7,102.0,9.5,4.0,3.0,6.0,1.0,65.0,938.0,317.0,640.5999999999999,334.0,62.06,1.9179640718562871
29,90.0,0,0.0,145.5,92.0,217.7,114.0,146.9,123.0,10.9,2.0,3.0,9.0,3.0,11.0,583.0,256.0,510.1,329.0,49.849999999999994,1.5504559270516718
4,75.0,0,0.0,166.3,125.0,158.2,86.0,256.7,80.0,6.1,5.0,1.0,9.0,1.0,61.0,579.0,416.0,581.2,291.0,53.269999999999996,1.9972508591065294
31,78.0,0,0.0,231.0,115.0,230.4,140.0,261.4,120.0,9.5,3.0,1.0,9.0,3.0,51.0,637.0,693.0,722.8,375.0,70.61,1.9274666666666664
43,82.0,0,0.0,200.3,96.0,201.2,102.0,206.1,60.0,7.1,1.0,3.5,5.0,1.0,18.0,573.0,326.0,607.6,258.0,60.42,2.3550387596899225
2,163.0,0,0.0,197.0,109.0,202.6,128.0,206.4,80.0,9.1,10.0,1.0,9.0,2.0,60.0,971.0,244.0,606.0,317.0,60.0,1.911671924290221
1,91.0,1,0.0,129.9,112.0,173.3,83.0,247.2,130.0,11.2,3.0,3.0,5.0,1.0,47.0,274.0,538.0,550.4000000000001,325.0,47.93,1.6935384615384619
34,75.0,0,21.0,175.8,97.0,217.5,106.0,237.5,134.0,5.3,4.0,3.5,7.0,3.0,42.0,850.0,489.0,630.8,337.0,59.06999999999999,1.8718100890207714
9,91.0,0,0.0,203.1,106.0,210.1,113.0,195.6,129.0,12.0,3.0,3.0,6.0,2.0,31.0,483.0,120.0,608.8,348.0,61.19,1.7494252873563216
0,127.0,0,36.0,183.2,117.0,126.8,76.0,263.3,71.0,11.2,8.0,1.0,6.0,3.0,44.0,861.0,482.0,573.3,264.0,53.77,2.171590909090909
33,113.0,0,23.0,205.0,101.0,152.0,60.0,158.6,59.0,10.2,5.0,2.0,5.0,3.0,54.0,659.0,200.0,515.6,220.0,54.910000000000004,2.3436363636363637
8,110.0,0,0.0,148.5,115.0,276.4,84.0,193.6,112.0,12.4,3.0,1.0,5.0,2.0,38.0,351.0,471.0,618.5,311.0,57.449999999999996,1.9887459807073955
20,120.0,0,39.0,200.3,68.0,220.4,97.0,253.8,116.0,10.5,4.0,0.0,0.0,3.0,9.0,136.0,438.0,674.5,281.0,64.2,2.400355871886121
22,157.0,0,28.0,192.6,107.0,195.5,74.0,109.7,139.0,6.8,5.0,3.0,9.0,1.0,8.0,574.0,321.0,497.8,320.0,54.3,1.555625
46,103.0,0,0.0,246.5,48.0,195.5,84.0,200.5,96.0,11.7,4.0,1.0,4.0,2.0,8.0,308.0,151.0,642.5,228.0,67.55,2.817982456140351
46,117.0,1,0.0,167.1,86.0,177.5,87.0,249.4,132.0,14.1,7.0,2.0,2.0,1.0,8.0,433.0,309.0,594.0,305.0,54.72,1.9475409836065574
22,140.0,0,0.0,231.9,101.0,160.1,94.0,110.4,98.0,14.3,6.0,3.0,6.0,2.0,29.0,973.0,590.0,502.4,293.0,58.0,1.7146757679180886
47,127.0,0,0.0,146.7,91.0,203.5,78.0,203.4,110.0,13.7,3.0,1.0,9.0,2.0,41.0,826.0,525.0,553.6,279.0,51.39,1.9842293906810036
44,83.0,1,0.0,271.5,87.0,216.3,126.0,121.1,105.0,11.7,4.0,1.0,7.0,3.0,4.0,912.0,189.0,608.9,318.0,70.0,1.9147798742138364
18,121.0,0,0.0,181.5,121.0,218.4,98.0,161.6,103.0,8.5,5.0,1.0,9.0,1.0,32.0,127.0,301.0,561.5,322.0,56.69,1.7437888198757765
39,145.0,0,42.5,257.7,97.0,162.1,95.0,286.9,86.0,11.1,4.0,2.0,5.0,2.0,5.0,906.0,203.0,706.6999999999999,278.0,70.5,2.5420863309352515
12,113.0,0,0.0,193.8,99.0,221.4,125.0,172.3,67.0,10.6,6.0,1.0,4.0,3.0,35.0,813.0,487.0,587.5,291.0,59.52,2.0189003436426116
