account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,total_mins,total_calls,total_charge,avg_min_per_call
24.0,2,0,1,25.0,164.9,110.0,28.03,209.3,105.0,17.79,231.2,55.0,10.4,6.7,9.0,1.81,1.0,605.4000000000001,270.0,56.22,2.2422222222222223
55.0,1,0,0,0.0,175.6,147.0,29.85,161.8,118.0,13.75,289.5,55.0,13.03,9.3,4.0,2.51,0.0,626.9,320.0,56.63,1.9590625
63.0,1,0,1,33.0,184.2,111.0,31.31,312.6,89.0,26.57,264.0,55.0,11.88,12.2,4.0,3.29,1.0,760.8,255.0,69.75999999999999,2.9835294117647058
105.0,0,0,0,0.0,166.1,93.0,28.24,175.9,106.0,14.95,243.5,55.0,10.96,16.2,3.0,4.37,2.0,585.5,254.0,54.15,2.3051181102362204
117.0,1,0,0,0.0,115.4,123.0,18.13,236.3,101.0,22.19,225.0,55.0,10.22,13.6,2.0,3.67,5.0,576.7,279.0,50.54,2.067025089605735
71.0,1,0,0,0.0,197.9,108.0,33.64,181.5,109.0,15.43,281.4,56.0,12.66,6.7,5.0,1.81,3.0,660.8,273.0,61.730000000000004,2.4205128205128204
117.0,1,0,0,0.0,118.4,126.0,20.13,249.3,97.0,21.19,227.0,56.0,10.22,13.6,3.0,3.67,5.0,594.7,279.0,51.54,2.131541218637993
56.0,0,0,0,0.0,210.4,80.0,35.77,176.6,96.0,15.01,149.7,56.0,6.74,15.5,4.0,4.19,1.0,536.7,232.0,57.52,2.3133620689655174
105.0,0,0,0,0.0,271.9,101.0,48.05,240.2,105.0,20.23,186.8,56.0,8.05,8.8,6.0,2.38,0.0,698.8999999999999,262.0,76.33,2.6675572519083963
110.0,0,0,0,0.0,100.1,90.0,17.02,233.3,93.0,19.83,204.4,57.0,9.2,11.1,8.0,3.0,3.0,537.8,240.0,46.05,2.2408333333333332
108.0,1,0,0,0.0,199.3,104.0,33.88,224.2,92.0,19.06,140.1,57.0,6.3,15.2,2.0,4.1,0.0,563.6,253.0,59.239999999999995,2.2276679841897233
74.0,1,0,1,35.0,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9.0,2.94,2.0,479.6,245.0,45.78,1.9575510204081634
95.0,0,0,1,32.0,262.2,123.0,44.57,165.2,82.0,14.04,194.3,57.0,8.74,10.6,5.0,2.86,0.0,621.7,262.0,67.35,2.372900763358779
99.0,1,0,0,0.0,182.6,83.0,31.04,154.5,111.0,13.13,196.0,57.0,8.82,12.1,5.0,3.27,0.0,533.1,251.0,52.99,2.1239043824701196
122.0,1,1,0,0.0,230.9,132.0,39.25,243.2,99.0,20.67,182.4,57.0,8.21,11.0,2.0,2.97,0.0,656.5,288.0,68.13,2.279513888888889
110.0,1,0,0,0.0,227.7,88.0,38.71,170.0,96.0,14.45,128.7,57.0,5.79,11.7,5.0,3.16,1.0,526.4,241.0,58.949999999999996,2.184232365145228
10.0,0,0,0,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,659.0999999999999,235.0,60.540000000000006,2.8046808510638295
94.0,0,0,0,0.0,279.2,107.0,47.76,180.8,141.0,17.47,267.6,57.0,11.59,8.9,1.0,2.4,3.0,727.6,305.0,76.82,2.385573770491803
90.0,1,0,0,0.0,179.2,77.0,30.46,210.7,99.0,17.91,276.9,58.0,12.46,9.2,6.0,2.48,2.0,666.8,234.0,60.830000000000005,2.849572649572649
86.0,2,0,1,41.0,119.0,101.0,20.23,230.0,134.0,19.55,236.9,58.0,10.66,9.5,3.0,2.57,0.0,585.9,293.0,50.44,1.9996587030716724
63.0,1,0,0,0.0,211.2,80.0,35.9,237.7,93.0,20.2,259.2,58.0,11.66,12.3,2.0,3.32,0.0,708.0999999999999,231.0,67.75999999999999,3.065367965367965
122.0,1,0,0,0.0,35.1,62.0,5.97,180.8,89.0,15.37,251.6,58.0,11.32,12.7,2.0,3.43,1.0,467.5,209.0,32.66,2.236842105263158
63.0,1,1,0,0.0,62.9,112.0,10.69,202.9,111.0,17.25,259.0,58.0,11.66,8.9,8.0,2.4,1.0,524.8,281.0,39.599999999999994,1.8676156583629893
177.0,1,0,0,0.0,266.1,91.0,45.24,225.2,79.0,19.14,224.7,58.0,10.11,8.9,8.0,2.4,3.0,716.0,228.0,74.49,3.1403508771929824
75.0,0,1,0,0.0,194.3,57.0,34.92,93.6,121.0,8.98,170.9,58.0,7.92,9.7,4.0,2.62,4.0,458.79999999999995,236.0,51.82000000000001,1.9440677966101694
52.0,2,1,0,0.0,238.4,123.0,44.74,196.6,78.0,15.71,200.0,58.0,8.64,11.0,1.0,2.97,0.0,635.0,259.0,69.09,2.451737451737452
131.0,1,0,1,25.0,192.7,85.0,32.76,225.9,105.0,19.2,254.2,59.0,11.44,10.9,6.0,2.94,2.0,672.8,249.0,63.39999999999999,2.702008032128514
121.0,0,0,0,0.0,168.6,121.0,28.66,168.6,94.0,14.33,95.3,59.0,4.29,12.3,4.0,3.32,1.0,432.5,274.0,47.28,1.5784671532846715
122.0,2,0,0,0.0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4.0,539.2,315.0,51.3,1.7117460317460318
135.0,2,0,0,0.0,154.4,130.0,26.25,203.8,90.0,17.32,158.7,59.0,7.14,11.8,3.0,3.19,0.0,516.9000000000001,279.0,50.71,1.852688172043011
113.0,1,0,1,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0,515.6,220.0,54.910000000000004,2.3436363636363637
102.0,1,0,0,0.0,144.4,87.0,24.55,266.5,128.0,22.65,217.6,59.0,9.79,7.1,7.0,1.92,0.0,628.5,274.0,56.99,2.2937956204379564
110.0,1,0,0,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,8.5,4.0,2.3,2.0,660.8,249.0,66.86,2.6538152610441763
122.0,1,1,0,0.0,247.9,125.0,41.25,251.2,98.0,20.67,180.4,59.0,8.21,11.0,2.0,2.97,0.0,679.5,282.0,70.13,2.4095744680851063
50.0,1,1,0,0.0,99.6,113.0,16.93,320.7,102.0,27.24,163.2,59.0,7.25,13.7,5.0,3.7,2.0,583.5,274.0,51.42,2.1295620437956204
105.0,0,0,0,0.0,270.9,98.0,46.05,226.2,110.0,19.23,178.8,60.0,8.05,8.8,5.0,2.38,0.0,675.9,268.0,73.33,2.522014925373134
90.0,1,0,0,0.0,193.7,83.0,32.93,154.2,79.0,13.11,299.0,60.0,13.46,12.7,3.0,3.43,1.0,646.9,222.0,59.5,2.913963963963964
73.0,2,0,0,0.0,254.7,80.0,43.3,90.2,79.0,7.67,153.4,60.0,6.9,10.6,8.0,2.86,0.0,498.29999999999995,219.0,57.87,2.2753424657534245
123.0,0,0,0,0.0,206.9,115.0,35.17,224.4,86.0,19.07,197.4,60.0,8.88,8.3,2.0,2.24,3.0,628.7,261.0,63.120000000000005,2.408812260536399
164.0,0,0,1,25.0,219.1,88.0,37.25,151.5,99.0,12.88,66.37500000000003,60.0,2.9799999999999995,14.3,6.0,3.86,1.0,436.975,247.0,53.11,1.7691295546558705
142.0,0,1,1,25.0,191.1,109.0,32.49,149.6,120.0,12.72,227.8,60.0,10.25,9.8,3.0,2.65,0.0,568.5,289.0,55.46,1.967128027681661
69.0,1,0,0,0.0,228.2,70.0,38.79,263.7,80.0,22.41,142.6,60.0,6.42,10.7,5.0,2.89,3.0,634.5,210.0,67.62,3.0214285714285714
134.0,1,0,0,0.0,141.7,95.0,24.09,205.6,101.0,17.48,218.5,60.0,9.83,8.8,6.0,2.38,0.0,565.8,256.0,51.4,2.21015625
82.0,0,0,0,0.0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1.0,1.92,4.0,607.6,258.0,60.42,2.3550387596899225
126.0,0,0,0,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,582.0,210.0,61.31999999999999,2.7714285714285714
137.0,1,0,0,0.0,115.0,130.0,19.55,137.8,83.0,11.71,224.0,61.0,10.08,7.3,4.0,1.97,3.0,476.8,274.0,41.34,1.7401459854014598
151.0,0,0,0,0.0,134.5,88.0,22.87,143.1,112.0,12.16,223.9,61.0,10.08,15.4,1.0,4.16,1.0,501.5,261.0,45.11,1.921455938697318
71.0,1,0,0,0.0,207.0,112.0,35.19,173.8,96.0,14.77,178.4,61.0,8.03,12.1,3.0,3.27,1.0,559.2,269.0,57.989999999999995,2.0788104089219335
94.0,0,0,0,0.0,269.2,104.0,45.76,193.8,144.0,16.47,257.6,61.0,11.59,8.9,2.0,2.4,3.0,720.6,309.0,73.82,2.3320388349514563
73.0,0,0,0,0.0,194.8,112.0,33.12,167.2,85.0,14.21,100.3,61.0,4.51,10.8,6.0,2.92,1.0,462.3,258.0,51.839999999999996,1.791860465116279
162.0,2,0,1,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,667.7,242.0,65.69,2.7590909090909093
84.0,0,0,1,30.0,106.5,65.0,18.11,225.7,108.0,19.18,188.6,61.0,8.49,5.7,3.0,1.54,2.0,520.8,234.0,45.78,2.2256410256410253
151.0,1,0,0,0.0,118.9,128.0,20.21,278.3,65.0,23.66,194.8,61.0,8.77,13.2,10.0,3.56,2.0,592.0,254.0,52.64,2.3307086614173227
143.0,0,0,0,0.0,155.5,101.0,26.44,213.4,89.0,18.14,237.9,61.0,10.71,7.6,10.5,2.05,1.0,606.8,251.0,55.29,2.4175298804780874
95.0,1,0,0,0.0,269.0,120.0,45.73,233.7,120.0,19.86,179.3,61.0,8.07,7.3,4.0,1.97,2.0,682.0,301.0,73.66,2.26578073089701
101.0,1,0,0,0.0,118.6,89.0,20.16,199.6,97.0,16.97,66.37500000000003,61.0,2.9799999999999995,11.5,5.0,3.11,1.0,384.57500000000005,247.0,40.10999999999999,1.5569838056680163
125.0,0,0,0,0.0,113.0,108.0,19.21,169.2,107.0,14.38,156.6,61.0,7.05,9.2,5.0,2.48,2.0,438.79999999999995,276.0,40.64,1.589855072463768
106.0,1,0,0,0.0,119.2,142.0,20.26,228.4,139.0,19.41,197.9,61.0,8.91,8.4,9.0,2.27,2.0,545.5,342.0,48.58,1.595029239766082
100.0,2,0,1,38.0,224.7,121.0,38.2,294.0,131.0,24.99,290.0,61.0,13.05,9.8,6.0,2.65,0.0,808.7,313.0,76.24,2.58370607028754
97.0,2,0,0,0.0,125.8,95.0,22.54,159.8,103.0,14.43,199.1,61.0,8.73,11.9,3.0,3.21,4.0,484.70000000000005,259.0,45.7,1.8714285714285717
152.0,1,0,0,0.0,323.8,53.0,52.03,155.9,100.0,14.0,111.4,61.0,5.55,10.4,8.0,2.81,1.0,591.1,214.0,71.58,2.7621495327102803
80.0,1,0,0,0.0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9.0,2.13,1.0,550.5,269.0,47.230000000000004,2.046468401486989
148.0,2,1,0,0.0,148.2,138.0,25.19,159.6,123.0,13.57,197.4,62.0,8.88,8.6,3.0,2.32,2.0,505.19999999999993,323.0,47.64000000000001,1.5640866873065014
106.0,2,0,0,0.0,274.4,120.0,46.65,198.6,82.0,16.88,160.8,62.0,7.24,6.0,3.0,1.62,1.0,633.8,264.0,70.77,2.4007575757575754
160.0,1,0,0,0.0,97.5,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3.0,620.9000000000001,244.0,50.86,2.5446721311475415
124.0,1,0,0,0.0,150.3,101.0,25.55,255.9,112.0,21.75,136.7,62.0,6.15,12.5,4.0,3.38,2.0,542.9000000000001,275.0,53.449999999999996,1.9741818181818185
148.0,1,1,0,0.0,218.7,111.0,37.18,155.6,133.0,13.23,277.4,62.0,12.48,8.2,5.0,2.21,1.0,651.6999999999999,306.0,62.89,2.1297385620915033
60.0,2,0,1,31.0,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2.0,660.1,272.0,64.39,2.4268382352941176
50.0,1,1,0,0.0,99.6,108.0,16.93,308.7,102.0,26.24,161.2,62.0,7.25,13.7,6.0,3.7,2.0,569.5,272.0,50.42,2.09375
167.0,1,0,0,0.0,158.2,130.0,30.76,162.3,111.0,14.73,219.5,62.0,9.74,12.4,3.0,3.35,4.0,540.0,303.0,55.230000000000004,1.7821782178217822
173.0,2,0,0,0.0,172.5,78.0,29.33,142.6,91.0,12.12,102.0,63.0,4.59,10.9,2.0,2.94,0.0,417.1,232.0,46.03999999999999,1.797844827586207
139.0,1,0,0,0.0,138.1,103.0,23.48,164.5,100.0,13.98,134.9,63.0,6.07,8.3,2.0,2.24,1.0,437.5,266.0,43.53,1.644736842105263
118.0,1,0,1,36.0,294.9,106.0,50.13,165.7,115.0,14.08,189.2,63.0,8.51,9.8,5.0,2.65,3.0,649.8,284.0,72.72000000000001,2.2880281690140842
93.0,1,0,0,0.0,266.0,120.0,45.22,130.1,84.0,11.06,165.8,63.0,7.46,13.1,6.0,3.54,3.0,561.9000000000001,267.0,63.74,2.104494382022472
104.0,1,0,0,0.0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63.0,11.91,13.0,6.0,3.51,0.0,526.4,257.0,45.25,2.048249027237354
91.0,1,0,0,0.0,190.5,128.0,32.39,205.5,103.0,17.47,130.7,63.0,5.88,13.8,5.0,3.73,0.0,526.7,294.0,55.74,1.791496598639456
127.0,2,0,1,19.0,129.7,115.0,22.05,160.8,101.0,13.67,265.0,63.0,11.93,12.2,3.0,3.29,2.0,555.5,279.0,47.65,1.9910394265232976
75.0,0,1,0,0.0,211.3,61.0,35.92,105.6,119.0,8.98,175.9,63.0,7.92,9.7,4.0,2.62,4.0,492.79999999999995,243.0,52.82000000000001,2.02798353909465
97.0,2,0,0,0.0,120.8,96.0,20.54,169.8,101.0,14.43,194.1,63.0,8.73,11.9,3.0,3.21,4.0,484.70000000000005,260.0,43.7,1.8642307692307694
152.0,1,0,0,0.0,317.8,60.0,54.03,152.9,100.0,13.0,123.4,63.0,5.55,10.4,7.0,2.81,1.0,594.1,223.0,72.58,2.6641255605381167
80.0,1,0,0,0.0,127.8,67.0,21.73,181.6,112.0,15.44,197.3,63.0,8.88,15.9,2.0,4.29,2.0,506.7,242.0,46.050000000000004,2.093801652892562
138.0,2,0,0,0.0,205.9,96.0,35.0,257.1,94.0,21.85,209.0,63.0,9.4,12.1,8.0,3.27,0.0,672.0,253.0,66.25,2.656126482213439
107.0,2,0,1,27.0,283.4,104.0,48.18,224.1,152.0,19.05,241.3,63.0,10.86,14.4,7.0,3.89,2.0,748.8,319.0,78.09,2.347335423197492
129.0,0,0,0,0.0,186.0,127.0,31.62,262.3,96.0,22.3,98.9,63.0,4.45,11.5,6.0,3.11,4.0,547.2,286.0,58.370000000000005,1.9132867132867135
77.0,0,0,0,0.0,62.4,82.0,12.61,155.9,123.0,15.44,217.6,63.0,9.43,5.7,6.0,1.54,5.0,435.9,268.0,37.48,1.6264925373134327
177.0,1,0,0,0.0,271.1,86.0,47.24,234.2,84.0,18.14,233.7,63.0,10.11,8.9,7.0,2.4,3.0,739.0,233.0,75.49,3.171673819742489
77.0,0,0,0,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,441.9,274.0,34.48,1.6127737226277372
119.0,0,0,0,0.0,294.2,100.0,50.01,232.5,53.0,19.76,195.0,64.0,8.78,9.0,1.0,2.43,0.0,721.7,217.0,78.55,3.3258064516129036
171.0,2,0,1,17.0,186.9,94.0,31.77,240.0,138.0,20.4,200.9,64.0,9.04,5.8,3.0,1.57,1.0,627.8,296.0,61.21,2.120945945945946
97.0,1,0,1,28.0,202.3,97.0,34.39,69.2,84.0,5.88,257.6,64.0,11.59,6.7,3.0,1.81,1.0,529.1,245.0,51.86,2.159591836734694
139.0,1,0,0,0.0,181.6,119.0,30.87,335.7,118.0,28.53,149.8,64.0,6.74,8.3,6.0,2.24,4.0,667.0999999999999,301.0,66.14,2.2162790697674417
137.0,2,0,0,0.0,110.5,79.0,18.79,223.2,111.0,18.97,169.5,64.0,7.63,10.5,3.0,2.84,3.0,503.2,254.0,45.39,1.9811023622047244
205.0,2,0,1,24.0,175.8,139.0,29.89,155.0,98.0,13.18,180.7,64.0,8.13,7.8,5.0,2.11,2.0,511.5,301.0,51.2,1.6993355481727574
40.0,2,0,0,0.0,81.7,123.0,13.89,210.2,108.0,17.87,212.0,64.0,9.54,11.3,3.0,3.05,6.0,503.9,295.0,41.3,1.7081355932203388
110.0,2,0,0,0.0,188.0,127.0,31.96,90.5,118.0,7.69,150.3,64.0,6.76,15.3,3.0,4.13,3.0,428.8,309.0,46.41,1.3877022653721682
116.0,2,0,0,0.0,137.4,126.0,23.36,120.0,94.0,10.2,130.3,64.0,5.86,12.4,2.0,3.35,3.0,387.7,284.0,39.42,1.3651408450704225
130.0,0,0,0,0.0,252.0,101.0,42.84,170.2,105.0,14.47,209.2,64.0,9.41,5.7,5.0,1.54,0.0,631.4,270.0,66.72,2.3385185185185184
16.0,2,0,0,0.0,205.6,69.0,34.95,169.5,93.0,14.41,220.1,64.0,9.9,10.9,3.0,2.94,0.0,595.2,226.0,59.26,2.633628318584071
167.0,1,0,0,0.0,169.2,124.0,28.76,173.3,108.0,14.73,216.5,64.0,9.74,12.4,4.0,3.35,4.0,559.0,296.0,53.230000000000004,1.8885135135135136
32.0,0,0,0,0.0,171.2,82.0,29.1,185.6,102.0,15.78,203.3,64.0,15.14,10.2,7.0,2.75,1.0,560.0999999999999,248.0,60.02,2.2584677419354837
53.0,1,0,1,27.0,29.09999999999991,119.0,4.8700000000000045,206.5,96.0,17.55,228.1,64.0,10.26,6.5,7.0,1.76,1.0,463.69999999999993,279.0,32.68000000000001,1.6620071684587812
40.0,2,0,0,0.0,74.7,130.0,15.89,218.2,104.0,16.87,217.0,64.0,9.54,11.3,2.0,3.05,6.0,509.9,298.0,42.300000000000004,1.7110738255033557
95.0,1,0,0,0.0,263.0,116.0,43.73,247.7,121.0,20.86,178.3,64.0,8.07,7.3,3.0,1.97,2.0,689.0,301.0,72.66,2.2890365448504983
125.0,0,0,0,0.0,112.0,114.0,19.21,179.2,112.0,14.38,165.6,64.0,7.05,9.2,6.0,2.48,2.0,456.79999999999995,290.0,40.64,1.5751724137931034
115.0,0,0,0,0.0,268.0,115.0,45.56,153.6,106.0,13.06,232.3,65.0,10.45,17.0,1.0,4.59,3.0,653.9000000000001,286.0,69.07000000000001,2.2863636363636366
108.0,1,0,0,0.0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65.0,8.75,3.6,5.0,0.97,1.0,605.3,262.0,62.0,2.31030534351145
105.0,1,1,0,0.0,150.0,106.0,25.5,293.8,123.0,24.97,250.7,65.0,11.28,10.3,7.0,2.78,3.0,694.5,294.0,61.75,2.3622448979591835
106.0,2,0,0,0.0,159.6,94.0,27.13,276.8,118.0,23.53,223.5,65.0,10.06,8.8,3.0,2.38,0.0,659.9,277.0,60.72,2.3823104693140795
31.0,2,0,0,0.0,165.4,84.0,28.12,203.7,107.0,17.31,201.7,65.0,9.08,8.2,1.0,2.21,1.0,570.8,256.0,54.51,2.2296875
70.0,2,0,0,0.0,147.1,105.0,25.01,200.0,135.0,17.0,234.9,65.0,10.57,12.5,9.0,3.38,3.0,582.0,305.0,52.580000000000005,1.9081967213114754
83.0,1,0,0,0.0,178.8,102.0,30.4,167.9,84.0,14.27,178.9,65.0,8.05,8.6,4.0,2.32,3.0,525.6,251.0,52.72,2.09402390438247
162.0,0,0,0,0.0,217.6,87.0,36.99,279.0,71.0,23.72,250.7,65.0,11.28,10.4,4.0,2.81,2.0,747.3,223.0,71.99,3.351121076233184
64.0,0,0,0,0.0,219.6,126.0,37.33,303.3,100.0,25.78,154.5,65.0,6.95,9.7,5.0,2.62,1.0,677.4,291.0,70.06,2.3278350515463915
172.0,0,0,0,0.0,203.9,109.0,34.66,234.0,123.0,19.89,160.7,65.0,7.23,17.1,4.0,4.620000000000001,4.0,598.5999999999999,297.0,61.78,2.015488215488215
88.0,1,0,0,0.0,215.6,115.0,36.65,216.2,85.0,18.38,171.3,65.0,7.71,11.8,1.0,3.19,3.0,603.0999999999999,265.0,62.74,2.2758490566037732
104.0,0,0,0,0.0,200.2,92.0,34.03,118.7,87.0,10.09,236.6,65.0,10.65,6.0,6.0,1.62,2.0,555.5,244.0,54.77,2.276639344262295
90.0,0,0,1,39.0,94.8,89.0,16.12,219.1,91.0,18.62,197.4,65.0,8.88,11.4,5.0,3.08,1.0,511.29999999999995,245.0,43.620000000000005,2.086938775510204
101.0,2,0,1,9.0,160.1,116.0,27.22,210.0,121.0,17.85,139.1,65.0,6.26,10.8,9.0,2.92,0.0,509.20000000000005,302.0,51.33,1.6860927152317882
119.0,0,0,0,0.0,279.2,106.0,48.01,229.5,49.0,18.76,199.0,65.0,8.78,9.0,2.0,2.43,0.0,707.7,220.0,75.55,3.2168181818181822
77.0,1,0,0,0.0,163.0,112.0,27.71,219.1,89.0,18.62,233.4,66.0,10.5,6.7,3.0,1.81,2.0,615.5,267.0,56.83,2.305243445692884
44.0,1,0,0,0.0,308.6,139.0,52.46,150.8,94.0,12.82,198.7,66.0,8.94,7.3,3.0,1.97,4.0,658.1,299.0,74.22,2.2010033444816055
51.0,2,0,0,0.0,214.8,94.0,36.52,149.7,58.0,12.72,283.4,66.0,12.75,10.2,5.0,2.75,0.0,647.9,218.0,61.99,2.972018348623853
164.0,2,0,1,30.0,238.8,100.0,40.6,230.0,121.0,19.55,206.3,66.0,9.28,13.2,8.0,3.56,1.0,675.1,287.0,69.43,2.3522648083623694
93.0,1,0,0,0.0,173.0,131.0,29.41,190.4,108.0,16.18,290.0,66.0,13.05,10.4,2.0,2.81,0.0,653.4,305.0,58.64,2.142295081967213
140.0,0,0,0,0.0,162.6,98.0,27.64,206.2,109.0,17.53,141.6,66.0,6.37,8.2,2.0,2.21,1.0,510.4,273.0,51.54,1.8695970695970696
102.0,2,1,0,0.0,224.2,81.0,38.11,243.3,90.0,20.68,147.8,66.0,6.65,12.0,8.0,3.24,3.0,615.3,237.0,65.44,2.5962025316455692
